,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
0,4.0,0.2,8.0,0.2,1.34117387,1.3713943
1,13.0,0.2,8.0,0.2,1.222589387,1.2808652
2,22.0,0.2,8.0,0.2,1.117951228,1.2326369
3,31.0,0.2,8.0,0.2,1.012799545,1.1781032
4,40.0,0.2,8.0,0.2,0.907258592,1.1323068
5,4.0,0.3,8.0,0.2,3.276677285,3.079016
6,13.0,0.3,8.0,0.2,3.366803497,3.1931062
7,22.0,0.3,8.0,0.2,3.407346782,3.3542314
8,31.0,0.3,8.0,0.2,3.447971192,3.3881993
9,40.0,0.3,8.0,0.2,3.488712665,3.3801842
10,4.0,0.4,8.0,0.2,2.528308136,2.3235252
11,13.0,0.4,8.0,0.2,2.38986435,2.4158351
12,22.0,0.4,8.0,0.2,2.424985628,2.5298548
13,31.0,0.4,8.0,0.2,2.460195647,2.555781
14,40.0,0.4,8.0,0.2,2.495259983,2.5925295
15,4.0,0.5,8.0,0.2,2.365844703,2.2566357
16,13.0,0.5,8.0,0.2,2.125470347,2.116634
17,22.0,0.5,8.0,0.2,2.158840477,2.1998675
18,31.0,0.5,8.0,0.2,2.194878732,2.2380655
19,40.0,0.5,8.0,0.2,2.230950707,2.2780275
20,4.0,0.6,8.0,0.2,2.14993561,2.150302
21,13.0,0.6,8.0,0.2,1.934011441,1.9584861
22,22.0,0.6,8.0,0.2,1.96952085,1.9948622
23,31.0,0.6,8.0,0.2,2.010778853,2.0331671
24,40.0,0.6,8.0,0.2,2.052182343,2.119612
25,4.0,0.7,8.0,0.2,1.966784063,1.8712658
26,13.0,0.7,8.0,0.2,1.833948885,1.9510614
27,22.0,0.7,8.0,0.2,1.87278862,1.9271736
28,31.0,0.7,8.0,0.2,1.916724267,1.9883223
29,40.0,0.7,8.0,0.2,1.961828623,2.1214015
30,4.0,0.2,14.0,0.2,3.477316036,3.2054286
31,13.0,0.2,14.0,0.2,3.632850623,3.4636092
32,22.0,0.2,14.0,0.2,3.646516147,3.459916
33,31.0,0.2,14.0,0.2,3.659492633,3.4476018
34,40.0,0.2,14.0,0.2,3.67165596,3.3852735
35,4.0,0.3,14.0,0.2,2.848218587,2.8227742
36,13.0,0.3,14.0,0.2,2.637735926,2.597969
37,22.0,0.3,14.0,0.2,2.647608116,2.6093433
38,31.0,0.3,14.0,0.2,2.657208095,2.6404262
39,40.0,0.3,14.0,0.2,2.666683026,2.6715083
40,4.0,0.4,14.0,0.2,3.010496173,2.728163
41,13.0,0.4,14.0,0.2,2.417801337,2.3303225
42,22.0,0.4,14.0,0.2,2.420737122,2.3638084
43,31.0,0.4,14.0,0.2,2.428253633,2.403216
44,40.0,0.4,14.0,0.2,2.435516639,2.4475307
45,4.0,0.5,14.0,0.2,2.866753809,2.685764
46,13.0,0.5,14.0,0.2,2.23560404,2.1031048
47,22.0,0.5,14.0,0.2,2.226166296,2.148858
48,31.0,0.5,14.0,0.2,2.232900348,2.19473
49,40.0,0.5,14.0,0.2,2.239700608,2.2432456
50,4.0,0.6,14.0,0.2,2.466435097,2.2886825
51,13.0,0.6,14.0,0.2,2.011885262,1.9557619
52,22.0,0.6,14.0,0.2,2.000140438,1.989949
53,31.0,0.6,14.0,0.2,2.003372079,2.0270612
54,40.0,0.6,14.0,0.2,2.011735793,2.065333
55,4.0,0.7,14.0,0.2,2.199397697,1.9208744
56,13.0,0.7,14.0,0.2,2.038750345,2.0559437
57,22.0,0.7,14.0,0.2,1.959008375,1.9447771
58,31.0,0.7,14.0,0.2,1.953474863,1.9542177
59,40.0,0.7,14.0,0.2,1.957778142,2.0219016
60,4.0,0.2,20.0,0.2,3.702589098,3.3392773
61,13.0,0.2,20.0,0.2,3.853950744,3.4741282
62,22.0,0.2,20.0,0.2,3.866241316,3.4376388
63,31.0,0.2,20.0,0.2,3.868676438,3.4201992
64,40.0,0.2,20.0,0.2,3.870291937,3.470478
65,4.0,0.3,20.0,0.2,3.492706006,3.2162967
66,13.0,0.3,20.0,0.2,2.855785854,2.6723647
67,22.0,0.3,20.0,0.2,2.860495107,2.6571283
68,31.0,0.3,20.0,0.2,2.859751014,2.6895514
69,40.0,0.3,20.0,0.2,2.858610497,2.7265968
70,4.0,0.4,20.0,0.2,3.48521323,3.1820946
71,13.0,0.4,20.0,0.2,2.396224338,2.3262808
72,22.0,0.4,20.0,0.2,2.378456499,2.3577828
73,31.0,0.4,20.0,0.2,2.376089603,2.3937855
74,40.0,0.4,20.0,0.2,2.37358958,2.4368968
75,4.0,0.5,20.0,0.2,3.094200179,2.9454277
76,13.0,0.5,20.0,0.2,2.117191085,2.0952322
77,22.0,0.5,20.0,0.2,2.088519085,2.1379495
78,31.0,0.5,20.0,0.2,2.080038607,2.1836796
79,40.0,0.5,20.0,0.2,2.075070879,2.2312891
80,4.0,0.6,20.0,0.2,2.649929175,2.4229546
81,13.0,0.6,20.0,0.2,2.090495541,2.028017
82,22.0,0.6,20.0,0.2,1.95201787,1.96049
83,31.0,0.6,20.0,0.2,1.926986937,1.9725823
84,40.0,0.6,20.0,0.2,1.917301623,1.9847374
85,4.0,0.7,20.0,0.2,2.150508632,1.9227508
86,13.0,0.7,20.0,0.2,2.213261941,2.1649714
87,22.0,0.7,20.0,0.2,1.87885174,1.9285061
88,31.0,0.7,20.0,0.2,1.854233165,1.8318317
89,40.0,0.7,20.0,0.2,1.83252207,1.8516458
90,4.0,0.2,26.0,0.2,4.002388841,3.776028
91,13.0,0.2,26.0,0.2,4.044201497,3.6513174
92,22.0,0.2,26.0,0.2,4.071386098,3.653573
93,31.0,0.2,26.0,0.2,4.06861837,3.672883
94,40.0,0.2,26.0,0.2,4.066269035,3.737899
